word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,pof,en,var
unrivaled,"경쟁자[상대]가 없는, 무적의, 무쌍의, 비할 데 없는",无敌的;无双的,,/ˌənˈrīvəld/,,"without equal, unparalleled, without parallel, matchless, unmatched, peerless, without peer, unsurpassed, unbeaten, unexcelled, incomparable, beyond compare, inimitable","un- +‎ rivaled
",[ADJ],"If you describe something as unrivalled, you are emphasizing that it is better than anything else of the same kind.",
serendipity,뜻밖의 재미[기쁨],（偶然发现有趣或珍贵之物的）机缘，幸运,,/ˌsɛr(ə)nˈdɪpɪti/,,"happy chance, accident, happy accident, fluke","From Serendip (“variant of Serendib: Ceylon, Sri Lanka”) +‎ -ity. Coined by English writer and politician Horace Walpole in 1754 based on the Persian story of The Three Princes of Serendip, who (Walpole wrote to a friend) were “always making discoveries, by accidents and sagacity, of things which they were not in quest of”.
",[NOUN],Serendipity is the luck some people have in finding or creating interesting or valuable things by chance.,
cursive,필기체인,草书的；连笔的,,/ˈkəːsɪv/,,,"Borrowed from Middle French cursif, from Medieval Latin cursīvus, from Latin cursus.
",[ADJ],of or relating to handwriting in which letters are formed and joined in a rapid flowing style,
exhume,(특히 검시를 위해 시체를) 파내다[발굴하다],（从坟墓中）掘出（尸体）,,/ɛksˈ(h)juːm/,,"dig up, unearth, bring out of the ground","Latin ex and humāre (“to bury”).
",[VERB],"If a dead person's body is exhumed, it is taken out of the ground where it is buried, especially so that it can be examined in order to find out how the person died.",
talisman,(행운을 가져다준다고 여겨지는) 부적(符籍),护身符；避邪物,,/ˈtalɪzmən/,,"charm, fetish, amulet, mascot, totem, idol, juju, phylactery","From French talisman, partly from Arabic طِلَسْم‎ (ṭilasm), from Ancient Greek τέλεσμα (télesma, “payment”); and partly directly from Byzantine Greek τέλεσμα (télesma, “talisman, religious rite, completion”), from τελέω (teléō, “to perform religious rites, to complete”), from τέλος (télos, “end, fulfillment, accomplishment, consummation, completion”).
",[NOUN],A talisman is an object which you believe has magic powers to protect you or bring you luck.,
inane,어리석은; 무의미한,极其愚蠢的；无意义的；无聊的,,/ɪˈneɪn/,,"foolish, stupid, fatuous, idiotic, absurd, ridiculous, ludicrous, laughable, risible, imbecilic, moronic, cretinous, unintelligent, witless, asinine, pointless, senseless, frivolous, nonsensical, brainless, mindless, thoughtless, vacuous, vapid, empty-headed","From Middle French inane, from Latin inānis (“empty, vain, useless”) which is of unknown origin.
",[ADJ],"If you describe someone's behaviour or actions as inane, you think they are very silly or stupid.",
concentric,"중심이 같은, 동심원의",（指圆）同心的,,/kənˈsɛntrɪk/,,,"Middle English, from Middle French concentrique, from Medieval Latin concentricus, from Latin con- (“with, together”) + centrum (“circle, center”)
",[ADJ],Concentric circles or rings have the same centre.,
abatement,"감소, 감퇴; 경감, 완화; (가격·세 등의) 경감액",减弱;减轻;减少,,/əˈbeɪtm(ə)nt/,,"dying away, dying down, dying out, dropping away, dropping off, lessening, easing, easing off, decrease, diminishing, moderation, decline, declining, fade, dwindling, cooling off, tailing off, petering out, tapering off, wane, waning, ebb, relenting, desisting, weakening",,[NOUN],Abatement means a reduction in the strength or power of something or the reduction of it.,
anathema,"절대 반대(하는 것), 아주 싫은 것",令人讨厌的事物,,/əˈnaθəmə/,,"hateful, odious, repugnant, repellent, offensive","Borrowed from Late Latin anathema (“curse, person cursed, offering”), itself a borrowing from Ancient Greek ἀνάθεμα (anáthema, “something dedicated, especially dedicated to evil”), from ἀνατίθημι (anatíthēmi, “I set upon, offer as a votive gift”), from ἀνά (aná, “upon”) + τίθημι (títhēmi, “I put, place”). The Ancient Greek term was influenced by Hebrew חרם‎ (herem), leading to the sense of ""accursed,"" especially in Ecclesiastical writers.
",[NOUN],"If something is anathema to you, you strongly dislike it.",
acclaim,"칭송하다, 환호를 보내다",（公开的）称誉；赞赏；欢迎,,/əˈkleɪm/,,"admired, highly rated, lionized, revered, honoured, esteemed, exalted, lauded, vaunted, much touted, well thought of, well received, acknowledged",,[VERB],"If someone or something is acclaimed, they are praised enthusiastically.",
