word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,hypo,hyper,var
unrivaled,"경쟁자[상대]가 없는, 무적의, 무쌍의, 비할 데 없는",无敌的;无双的,,/ˌənˈrīvəld/,,"without equal, unparalleled, without parallel, matchless, unmatched, peerless, without peer, unsurpassed, unbeaten, unexcelled, incomparable, beyond compare, inimitable","un- +‎ rivaled
",,,
serendipity,뜻밖의 재미[기쁨],（偶然发现有趣或珍贵之物的）机缘，幸运,,/ˌsɛr(ə)nˈdɪpɪti/,,"happy chance, accident, happy accident, fluke","From Serendip (“variant of Serendib: Ceylon, Sri Lanka”) +‎ -ity. Coined by English writer and politician Horace Walpole in 1754 based on the Persian story of The Three Princes of Serendip, who (Walpole wrote to a friend) were “always making discoveries, by accidents and sagacity, of things which they were not in quest of”.
",,,
cursive,필기체인,草书的；连笔的,,/ˈkəːsɪv/,,,"Borrowed from Middle French cursif, from Medieval Latin cursīvus, from Latin cursus.
",,,
exhume,(특히 검시를 위해 시체를) 파내다[발굴하다],（从坟墓中）掘出（尸体）,,/ɛksˈ(h)juːm/,,"dig up, unearth, bring out of the ground","Latin ex and humāre (“to bury”).
",,,
talisman,(행운을 가져다준다고 여겨지는) 부적(符籍),护身符；避邪物,,/ˈtalɪzmən/,,"charm, fetish, amulet, mascot, totem, idol, juju, phylactery","From French talisman, partly from Arabic طِلَسْم‎ (ṭilasm), from Ancient Greek τέλεσμα (télesma, “payment”); and partly directly from Byzantine Greek τέλεσμα (télesma, “talisman, religious rite, completion”), from τελέω (teléō, “to perform religious rites, to complete”), from τέλος (télos, “end, fulfillment, accomplishment, consummation, completion”).
",,,
inane,어리석은; 무의미한,极其愚蠢的；无意义的；无聊的,,/ɪˈneɪn/,,"foolish, stupid, fatuous, idiotic, absurd, ridiculous, ludicrous, laughable, risible, imbecilic, moronic, cretinous, unintelligent, witless, asinine, pointless, senseless, frivolous, nonsensical, brainless, mindless, thoughtless, vacuous, vapid, empty-headed","From Middle French inane, from Latin inānis (“empty, vain, useless”) which is of unknown origin.
",,,
concentric,"중심이 같은, 동심원의",（指圆）同心的,,/kənˈsɛntrɪk/,,,"Middle English, from Middle French concentrique, from Medieval Latin concentricus, from Latin con- (“with, together”) + centrum (“circle, center”)
",,,
abatement,"감소, 감퇴; 경감, 완화; (가격·세 등의) 경감액",减弱;减轻;减少,,/əˈbeɪtm(ə)nt/,,"dying away, dying down, dying out, dropping away, dropping off, lessening, easing, easing off, decrease, diminishing, moderation, decline, declining, fade, dwindling, cooling off, tailing off, petering out, tapering off, wane, waning, ebb, relenting, desisting, weakening",,,,
anathema,"절대 반대(하는 것), 아주 싫은 것",令人讨厌的事物,,/əˈnaθəmə/,,"hateful, odious, repugnant, repellent, offensive","Borrowed from Late Latin anathema (“curse, person cursed, offering”), itself a borrowing from Ancient Greek ἀνάθεμα (anáthema, “something dedicated, especially dedicated to evil”), from ἀνατίθημι (anatíthēmi, “I set upon, offer as a votive gift”), from ἀνά (aná, “upon”) + τίθημι (títhēmi, “I put, place”). The Ancient Greek term was influenced by Hebrew חרם‎ (herem), leading to the sense of ""accursed,"" especially in Ecclesiastical writers.
",,,
acclaim,"칭송하다, 환호를 보내다",（公开的）称誉；赞赏；欢迎,,/əˈkleɪm/,,"admired, highly rated, lionized, revered, honoured, esteemed, exalted, lauded, vaunted, much touted, well thought of, well received, acknowledged",,,,
flagrant,"노골적인, 명백한",骇人听闻的；公然的；罪恶昭彰的,,/ˈfleɪɡr(ə)nt/,,"glaring, obvious, overt, evident, conspicuous","From French flagrant.
",,,
chicanery,교묘한 속임수,诡辩；诡计；欺诈,,/ʃɪˈkeɪnəri/,,"deception, deceit, deceitfulness, duplicity, dishonesty, unscrupulousness, underhandedness, subterfuge, fraud, fraudulence, legerdemain, sophistry, sharp practice, skulduggery, swindling, cheating, duping, hoodwinking","From French chicanerie (“trickery”), from chicaner.
",,,
depraved,(도덕적으로) 타락한[부패한],道德败坏的，堕落的，恶毒的,,/dɪˈpreɪvd/,,"corrupted, perverted, deviant, degenerate, debased, degraded, immoral, unprincipled, reprobate",,,,
hike,(가격경비 등의) 대폭 인상[급등],(价格、花费等的)大幅度提高，猛增；把(价格、税率等)大幅提高,,/hʌɪk/,,"trek, tramp, trudge, traipse, slog, footslog, plod, march, journey on foot","From English dialectal hyke (“to walk vigorously”), probably a Northern form of hitch, from Middle English hytchen, hichen, icchen (“to move, jerk, stir”). Cognate with Scots hyke (“to move with a jerk”), German dialectal hicken (“to hobble, walk with a limp”), Danish hinke (“to hop”). More at hick.
",,,
distaste,"불쾌감, 혐오감",厌恶，讨厌，不喜欢,,/dɪsˈteɪst/,,"disfavour, disdain","dis- +‎ taste
",,,
peruse,숙독[정독]하다,随便翻阅；浏览,,/pəˈruːz/,,"flick, flip, skim, browse, glance, look, riffle","From per- +‎ use, from either Medieval Latin (peruti, perusitare (“wear out”)) or Anglo-Norman (peruser (“use up”)), originally leading to two concurrent meanings, but only those derived from ""to examine"" survive today.
",,,
fusillade,연속 사격; 빗발치는 것,（子弹的）齐射，连发,,/ˌfjuːzɪˈleɪd/,,"volley, barrage, bombardment, cannonade, battery, burst, blast, hail, shower, rain, stream, broadside, blitz, discharge","From French fusillade, from fusiller (“shoot with a firearm”), from fusil (“rifle, gun”)
",,,
riposte,(특히 비판에 대한 기지 있는) 응수[반격],机敏的回答；巧妙的应对,,/rɪˈpɒst/,,"counter, rejoinder, sally, return, retaliation, answer, reply, response","From French riposte, taken from Italian risposta, a derivative of the verb rispondere, ""to respond"".
",,,
conjecture,추측(한 내용),推测；猜测；猜想；臆断,,/kənˈdʒɛktʃə/,,"speculation, surmise, fancy, notion, belief, suspicion, presumption, assumption, theory, hypothesis, postulation, supposition","From Old French, from Latin coniectūra (“a guess”), from coniectus, perfect passive participle of cōniciō (“throw or cast together; guess”), from con- (“together”) + iaciō (“throw, hurl”); see jet. Compare adjective, eject, inject, project, reject, subject, object, trajectory.
",,,
mercurial,변덕스러운,多变的，反覆无常的,,/məːˈkjʊərɪəl/,,"capricious, temperamental, excitable, fickle, changeable, unpredictable, variable, protean, mutable, erratic, quicksilver, inconstant, inconsistent, unstable, unsteady, fluctuating, ever-changing, kaleidoscopic, fluid, wavering, vacillating, moody, flighty, wayward, whimsical, giddy, impulsive","The annual mercury (Mercurialis annua), one of the varieties of mercurial (noun sense 1)A sample of a mercurial (noun sense 3), in this case a compound with the molecular formula Ag2HgI4An 18th-century jar used for storing mercurials (noun sense 4) in the form of pills[n 1]",,,
acumen,(일에 대한) 감각,敏锐；精明,,/ˈakjʊmən/,,"awareness, shrewdness, acuity, sharpness, sharp-wittedness, cleverness, brightness, smartness","Borrowed from Latin acūmen (“sharp point”).
",,,
fallacy,(많은 사람들이 옳다고 믿는) 틀린 생각,谬见，谬论，谬误,,/ˈfaləsi/,,"mistaken belief, misbelief, delusion, false notion, mistaken impression, misapprehension, misjudgement, miscalculation, misinterpretation, misconstruction, error, mistake, untruth, inconsistency, illusion, myth, fantasy, deceit, deception, sophism","From Middle English, from Old French fallace, from Latin fallacia (“deception, deceit”), from fallax (“deceptive, deceitful”), from fallere (“to deceive”).
",,,
intransigent,"고집스러운, 비협조적인",固执的，不妥协的，不让步的,,/ɪnˈtransɪdʒ(ə)nt/,,"inflexible, unbending, unyielding, unshakeable, unwavering, resolute, unpersuadable, unmalleable, unaccommodating, uncooperative, stubborn, obstinate, obdurate, pig-headed, bull-headed, single-minded, iron-willed, hard-line, hard and fast, diehard, immovable, unrelenting, inexorable, inveterate, rigid, tough, firm, determined, adamant, tenacious","Borrowed from French intransigeant, from Spanish intransigente, from Latin in- (“un-, not”) + trānsigēns, present participle of trānsigō (“to come to an understanding”), from trāns (“across”) +‎ agō (“to do”).
",,,
ludicrous,터무니없는,愚蠢可笑的；荒谬的,,/ˈl(j)uːdɪkrəs/,,"ridiculous, farcical, laughable, risible, preposterous, foolish, idiotic, stupid, inane, silly, asinine, nonsensical","First attested in 1619. From Latin lūdicrus, from lūdō (“play”).
",,,
articulate,(생각감정을) 분명히 표현하다[설명하다],能表达清楚的，善于表达的；口齿伶俐的，有口才的,,/ɑːˈtɪkjʊlət/,,"fluent, communicative, effective, persuasive, coherent, lucid, vivid, expressive, silver-tongued, vocal",,,,
incursion,급습,（尤指跨越边境的）侵入，侵犯,,/ɪnˈkəːʃ(ə)n/,,"assault on, raid on, invasion of, storming of, overrunning of, foray into, blitz on, sortie into, sally against, sally into, advance into, advance on, push into, thrust into, descent on","From Middle English, borrowed from Old French, from Latin incursio, incursionem.
",,,
