word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,hypo,hyper,var
unrivaled,"경쟁자[상대]가 없는, 무적의, 무쌍의, 비할 데 없는",无敌的;无双的,,/ˌənˈrīvəld/,,"inimitable, unbeaten, beyond compare, unexcelled, unparalleled, without equal, peerless, unmatched, without peer, incomparable, matchless, unsurpassed, without parallel","un- +‎ rivaled
",,,
serendipity,뜻밖의 재미[기쁨],（偶然发现有趣或珍贵之物的）机缘，幸运,,/ˌsɛr(ə)nˈdɪpɪti/,,"happy chance, fluke, happy accident, accident","From Serendip (“variant of Serendib: Ceylon, Sri Lanka”) +‎ -ity. Coined by English writer and politician Horace Walpole in 1754 based on the Persian story of The Three Princes of Serendip, who (Walpole wrote to a friend) were “always making discoveries, by accidents and sagacity, of things which they were not in quest of”.
",,,
cursive,필기체인,草书的；连笔的,,/ˈkəːsɪv/,,,"Borrowed from Middle French cursif, from Medieval Latin cursīvus, from Latin cursus.
",,,
exhume,(특히 검시를 위해 시체를) 파내다[발굴하다],（从坟墓中）掘出（尸体）,,/ɛksˈ(h)juːm/,,"bring out of the ground, unearth, dig up","Latin ex and humāre (“to bury”).
",,,
talisman,(행운을 가져다준다고 여겨지는) 부적(符籍),护身符；避邪物,,/ˈtalɪzmən/,,"phylactery, idol, amulet, fetish, totem, juju, mascot, charm","From French talisman, partly from Arabic طِلَسْم‎ (ṭilasm), from Ancient Greek τέλεσμα (télesma, “payment”); and partly directly from Byzantine Greek τέλεσμα (télesma, “talisman, religious rite, completion”), from τελέω (teléō, “to perform religious rites, to complete”), from τέλος (télos, “end, fulfillment, accomplishment, consummation, completion”).
",,,
inane,어리석은; 무의미한,极其愚蠢的；无意义的；无聊的,,/ɪˈneɪn/,,"stupid, ludicrous, laughable, empty-headed, brainless, cretinous, imbecilic, foolish, vapid, risible, vacuous, pointless, senseless, absurd, moronic, mindless, ridiculous, nonsensical, idiotic, witless, fatuous, frivolous, thoughtless, asinine, unintelligent","From Middle French inane, from Latin inānis (“empty, vain, useless”) which is of unknown origin.
",,,
concentric,"중심이 같은, 동심원의",（指圆）同心的,,/kənˈsɛntrɪk/,,,"Middle English, from Middle French concentrique, from Medieval Latin concentricus, from Latin con- (“with, together”) + centrum (“circle, center”)
",,,
abatement,"감소, 감퇴; 경감, 완화; (가격·세 등의) 경감액",减弱;减轻;减少,,/əˈbeɪtm(ə)nt/,,"wane, petering out, dying away, dying out, tailing off, fade, tapering off, diminishing, weakening, ebb, moderation, easing, dropping away, waning, dropping off, cooling off, relenting, declining, lessening, dying down, desisting, easing off, decline, dwindling, decrease",,,,
anathema,"절대 반대(하는 것), 아주 싫은 것",令人讨厌的事物,,/əˈnaθəmə/,,"offensive, hateful, repugnant, odious, repellent","Borrowed from Late Latin anathema (“curse, person cursed, offering”), itself a borrowing from Ancient Greek ἀνάθεμα (anáthema, “something dedicated, especially dedicated to evil”), from ἀνατίθημι (anatíthēmi, “I set upon, offer as a votive gift”), from ἀνά (aná, “upon”) + τίθημι (títhēmi, “I put, place”). The Ancient Greek term was influenced by Hebrew חרם‎ (herem), leading to the sense of ""accursed,"" especially in Ecclesiastical writers.
",,,
acclaim,"칭송하다, 환호를 보내다",（公开的）称誉；赞赏；欢迎,,/əˈkleɪm/,,"admired, well received, esteemed, revered, honoured, much touted, exalted, acknowledged, vaunted, well thought of, lionized, highly rated, lauded",,,,
