word,ko,zh_Hans,etym_zh_Hans,pron,ant,syn,etym,en,pof,example,pof_ko,example_ko
tempestuous,(감정이) 열렬한[격정적인],,,/tɛmˈpɛstjʊəs/,,,"From Middle English tempestuous, tempestious, variants of tempestous, from Old French tempesteus, tempestos, tempestuose, from Latin tempestuōsus, equivalent to tempest +‎ -uous.
","If you describe a relationship or a situation as tempestuous, you mean that very strong and intense emotions, especially anger, are involved.",[ADJ],"For years, the couple's tempestuous relationship made the headlines",[형용사],a tempestuous relationship
placid,(쉽게 동요하거나 짜증내지 않고) 차분한[얌전한],,,/ˈplasɪd/,,,"From French placide, from Latin placidus (“peaceful, calm, placid”), from placeō (“please, satisfy”).
","A placid person or animal is calm and does not easily become excited, angry, or upset.",[ADJ],She was a placid child who rarely cried,[형용사],a placid baby / horse
mercurial,변덕스러운,,,/məːˈkjʊərɪəl/,,,"The annual mercury (Mercurialis annua), one of the varieties of mercurial (noun sense 1)A sample of a mercurial (noun sense 3), in this case a compound with the molecular formula Ag2HgI4An 18th-century jar used for storing mercurials (noun sense 4) in the form of pills[n 1]","If you describe someone as mercurial, you mean that they frequently change their mind or mood without warning.",[ADJ],his mercurial temperament.,[형용사],Emily’s mercurial temperament made her difficult to live with.
pliant,"나긋나긋한, 얌전한",,,/ˈplʌɪənt/,,,"From Old French ploiant[1], present participle of ploiier (“to fold”).
",A pliant person can be easily influenced and controlled by other people.,[ADJ],"She's proud and stubborn, you know, under that pliant exterior.",[형용사],her pliant body
frenetic,"정신없이 바쁘게 돌아가는, 부산한",,,/frəˈnɛtɪk/,,,"From Old French frenetike, from Latin phreneticus, from Ancient Greek φρενητικός (phrenētikós, “delirious”), from φρενῖτις (phrenîtis, “delirium”), from φρήν (phrḗn, “mind”). Compare frantic.
","If you describe an activity as frenetic, you mean that it is fast and energetic, but rather uncontrolled.",[ADJ],the frenetic pace of life in New York,[형용사],a scene of frenetic activity
instigate,(보통 공식적으로) 실시[착수]하게 하다,,,/ˈɪnstɪɡeɪt/,,,"From the Latin īnstīgātus, past participle of īnstīgāre (“to instigate”), from prefix in- (“in”) + *stigare, akin to stinguere (“push, goad”). Akin to German stechen (“to prick”), English stick.
",Someone who instigates an event causes it to happen.,[VERB],Jenkinson instigated a refurbishment of the old gallery,[동사],The government has instigated a programme of economic reform.
arrogate," 사칭하다;  횡탈(橫奪)하다(usurp), 침해하다",,,/ˈarəɡeɪt/,,,"From Latin arrogātus, perfect passive participle of adrogō, arrogō (“ask of, adopt, appropriate, assume”), from ad (“to”) + rogō (“ask”).[1]
","If someone arrogates to themselves something such as a responsibility or privilege, they claim or take it even though they have no right to do so.",[VERB],The assembly arrogated to itself the right to make changes,[타동사],arrogate  a person's rights
eschew,"피하다, 삼가다",,,/ɪsˈtʃuː/,,,"From Middle English eschewen, from Anglo-Norman eschiver (Modern French esquiver), (third-person present eschiu), from Frankish *sciuhan (“to dread, shun, avoid”), from Proto-Germanic *skiuhwijaną (“to frighten”). Cognate with Old High German sciuhen (“to frighten off”), German scheuen (“eschew”) (German scheuchen (“shoo”)), and Spanish esquivar. More at shy.
","If you eschew something, you deliberately avoid doing it or becoming involved in it.",[VERB],"Although he appeared to enjoy a jet-setting life, he eschewed publicity and avoided nightclubs.",[동사],
inter,(죽은 사람을) 매장하다,,,/ɪnˈtəː/,,,"From Middle English enteren, borrowed from Old French enterrer, enterer, from Vulgar Latin *interrāre (“to put in earth”).
","When a dead person is interred, they are buried.",[VERB],the spot where his bones were originally interred.,[동사],interface
imbue,(강한 감정·의견·가치를) 가득 채우다,,,/ɪmˈbjuː/,,,"From Latin imbuō (“wet, moisten”).
","If someone or something is imbued with an idea, feeling, or quality, they become filled with it.",[VERB],"As you listen, you notice how every single word is imbued with a breathless sense of wonder.",[동사],Her voice was imbued with an unusual seriousness.
exorbitant,"과도한, 지나친",,,/ɪɡˈzɔːbɪt(ə)nt/,,,"From the Late Latin exorbitāns, the present active participle of exorbitō (“I go out of the track”), from ex (“out”) + orbita (“wheel-track”); see orbit. Compare the French exorbitant.
","If you describe something such as a price or fee as exorbitant, you are emphasizing that it is much greater than it should be.",[ADJ],Exorbitant housing prices have created an acute shortage of affordable housing for the poor.,[형용사],exorbitant costs/fares/fees/prices/rents
fathom,(의미 등을) 헤아리다[가늠하다],,,/ˈfað(ə)m/,,,"From Middle English fathome, fadome, from Old English fæþm, fæþme (“outstretched or encircling arms, embrace, grasp, protection, interior, bosom, lap, breast, womb, fathom, cubit, power, expanse, surface”), from Proto-Germanic *faþmaz (“embrace”), from Proto-Indo-European *pet- (“to spread out, extend”). Cognate with Low German fadem, faem (“a cubit, thread”), Dutch vadem, vaam (“fathom”), German Faden (“thread, filament, fathom”), Danish favn (“embrace, fathom”), Norwegian Bokmål favn (“embrace, fathom”), Swedish famn (“the arms, bosom, embrace”), Icelandic faðmur (“embrace”), Latin pateō, Ancient Greek πετάννυμι (petánnumi), Ancient Greek πέταλος (pétalos) [whence English petal].
","A fathom is a measurement of 1.8 metres or 6 feet, used when referring to the depth of water.",[NOUN],We sailed into the bay and dropped anchor in five fathoms of water.,[동사],[VN] It is hard to fathom the pain felt at the death of a child.
floundering,"버둥거리는, 몸부림치는",,,,,,,"If something is floundering, it has many problems and may soon fail completely.",[VERB],What a pity that his career was left to flounder,,[V] His abrupt change of subject left her floundering helplessly.
apogee,"정점, 절정",,,/ˈapədʒiː/,,,"From French apogée, from Latin apogaeum, apogeum, from Ancient Greek ἀπόγειον (apógeion, “away from Earth”), from ἀπό (apó, “away”) + γῆ (gê, “Earth”).
",The apogee of something such as a culture or a business is its highest or its greatest point.,[NOUN],,[명사],
epiphany,[the E~] (동방의 세 박사의 베들레헴 내방이 상징하는) 예수 공현,,,/ɪˈpɪf(ə)ni/,,,"From Old French epyphanie, from Late Latin epiphania, from Ancient Greek ἐπιφάνεια (epipháneia, “manifestation, striking appearance”), from ἐπιφαίνω (epiphaínō, “I appear, display”), from ἐπί (epí, “upon”) + φαίνω (phaínō, “I shine, appear”). English Epiphany (of Christ) since the 14th century, generic use since the 17th century.
",Epiphany is a Christian festival on the 6th of January which celebrates the arrival of the wise men who came to see Jesus Christ soon after he was born.,[NOUN],,[명사],
